Effective_From,Effective_To,Fuel,Landed_Cost,Distribution_Storage,Margins,Stabilization_Adjustment,Taxes_Levies,Retail_Price,Reconstructed_Price,Reconstruction_Error,Source_Title,PDF_URL,Verification_Status,Quality_Notes
2024-08-15,2024-09-14,Super Petrol,93.01,4.09,12.39,-3.40,82.75,188.84,188.84,0.00,August 15th -14th September 2024 Pump Prices,https://www.epra.go.ke/sites/default/files/2024-09/PUMP%20PRICES%2015%20AUGUST%20-%2014%20SEPTEMBER%202024_1.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2024-08-15,2024-09-14,Diesel,90.98,3.75,12.36,-5.20,69.71,171.60,171.60,0.00,August 15th -14th September 2024 Pump Prices,https://www.epra.go.ke/sites/default/files/2024-09/PUMP%20PRICES%2015%20AUGUST%20-%2014%20SEPTEMBER%202024_1.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2024-08-15,2024-09-14,Kerosene,93.04,3.72,12.36,-3.83,56.46,161.75,161.75,0.00,August 15th -14th September 2024 Pump Prices,https://www.epra.go.ke/sites/default/files/2024-09/PUMP%20PRICES%2015%20AUGUST%20-%2014%20SEPTEMBER%202024_1.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2024-10-15,2024-11-14,Super Petrol,83.02,4.03,12.39,0.00,81.22,180.66,180.66,0.00,Maximum Retail Prices of Petroleum Products for the period October 15 – November 14 2024,https://www.epra.go.ke/sites/default/files/2024-10/Maximum%20Retail%20Petroleum%20Prices%20in%20Kenya%20for%20the%20Period%2015th%20October%20to%2014th%20November%202024_0.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2024-10-15,2024-11-14,Diesel,83.08,3.72,12.36,0.00,68.90,168.06,168.06,0.00,Maximum Retail Prices of Petroleum Products for the period October 15 – November 14 2024,https://www.epra.go.ke/sites/default/files/2024-10/Maximum%20Retail%20Petroleum%20Prices%20in%20Kenya%20for%20the%20Period%2015th%20October%20to%2014th%20November%202024_0.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2024-10-15,2024-11-14,Kerosene,80.80,3.67,12.36,0.01,54.55,151.39,151.39,0.00,Maximum Retail Prices of Petroleum Products for the period October 15 – November 14 2024,https://www.epra.go.ke/sites/default/files/2024-10/Maximum%20Retail%20Petroleum%20Prices%20in%20Kenya%20for%20the%20Period%2015th%20October%20to%2014th%20November%202024_0.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2024-11-15,2024-12-14,Super Petrol,83.47,4.03,12.39,-0.46,81.23,180.66,180.66,0.00,Maximum retail petroleum prices in Kenya for the period 15th November to 14th December 2024,https://www.epra.go.ke/sites/default/files/2024-11/EPRA%20PRESS%20RELEASE-%20NOVEMBER%202024_1.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2024-11-15,2024-12-14,Diesel,79.54,3.71,12.36,3.69,68.76,168.06,168.06,0.00,Maximum retail petroleum prices in Kenya for the period 15th November to 14th December 2024,https://www.epra.go.ke/sites/default/files/2024-11/EPRA%20PRESS%20RELEASE-%20NOVEMBER%202024_1.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2024-11-15,2024-12-14,Kerosene,83.95,3.68,12.36,-3.29,54.69,151.39,151.39,0.00,Maximum retail petroleum prices in Kenya for the period 15th November to 14th December 2024,https://www.epra.go.ke/sites/default/files/2024-11/EPRA%20PRESS%20RELEASE-%20NOVEMBER%202024_1.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2024-12-15,2025-01-14,Super Petrol,79.39,4.01,12.39,-0.00,80.50,176.29,176.29,0.00,Maximum retail petroleum prices in Kenya for the period 15th December 2024 - 14th January 2025,https://www.epra.go.ke/sites/default/files/2024-12/PRESS%20RELEASE%2014TH%20DECEMBER%202024_2.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2024-12-15,2025-01-14,Diesel,83.48,3.72,12.36,-3.03,68.53,165.06,165.06,0.00,Maximum retail petroleum prices in Kenya for the period 15th December 2024 - 14th January 2025,https://www.epra.go.ke/sites/default/files/2024-12/PRESS%20RELEASE%2014TH%20DECEMBER%202024_2.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2024-12-15,2025-01-14,Kerosene,85.93,3.69,12.36,-7.93,54.34,148.39,148.39,0.00,Maximum retail petroleum prices in Kenya for the period 15th December 2024 - 14th January 2025,https://www.epra.go.ke/sites/default/files/2024-12/PRESS%20RELEASE%2014TH%20DECEMBER%202024_2.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2025-02-15,2025-03-14,Super Petrol,81.57,4.03,12.39,-2.40,80.99,176.58,176.58,0.00,Maximum retail petroleum prices in Kenya for the period 15th February 2025 - 14th March 2025,https://www.epra.go.ke/sites/default/files/2025-02/Maximum%20retail%20petroleum%20prices%20in%20Kenya%20for%20the%20period%2015th%20February%202025%20-%2014th%20March%202025_0.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2025-02-15,2025-03-14,Diesel,87.19,3.74,12.36,-5.60,69.37,167.06,167.06,0.00,Maximum retail petroleum prices in Kenya for the period 15th February 2025 - 14th March 2025,https://www.epra.go.ke/sites/default/files/2025-02/Maximum%20retail%20petroleum%20prices%20in%20Kenya%20for%20the%20period%2015th%20February%202025%20-%2014th%20March%202025_0.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2025-02-15,2025-03-14,Kerosene,88.78,3.70,12.36,-8.70,55.25,151.39,151.39,0.00,Maximum retail petroleum prices in Kenya for the period 15th February 2025 - 14th March 2025,https://www.epra.go.ke/sites/default/files/2025-02/Maximum%20retail%20petroleum%20prices%20in%20Kenya%20for%20the%20period%2015th%20February%202025%20-%2014th%20March%202025_0.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2025-06-15,2025-07-14,Super Petrol,76.83,4.37,15.24,0.01,80.87,177.32,177.32,0.00,Maximum retail petroleum prices in Kenya for the period 15th June - 14th July 2025,https://www.epra.go.ke/sites/default/files/2025-06/PRESS%20RELEASE-%20JUNE%20SIGNED%202025.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2025-06-15,2025-07-14,Diesel,75.43,4.06,15.16,-0.00,68.26,162.91,162.91,0.00,Maximum retail petroleum prices in Kenya for the period 15th June - 14th July 2025,https://www.epra.go.ke/sites/default/files/2025-06/PRESS%20RELEASE-%20JUNE%20SIGNED%202025.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2025-06-15,2025-07-14,Kerosene,73.80,4.02,15.09,0.00,54.02,146.93,146.93,0.00,Maximum retail petroleum prices in Kenya for the period 15th June - 14th July 2025,https://www.epra.go.ke/sites/default/files/2025-06/PRESS%20RELEASE-%20JUNE%20SIGNED%202025.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2025-07-15,2025-08-14,Super Petrol,81.88,4.70,17.39,0.21,82.13,186.31,186.31,0.00,Maximum retail petroleum prices in Kenya for the period 15th July – 14th August 2025,https://www.epra.go.ke/sites/default/files/2025-07/Maximum%20Wholesale%20and%20Retail%20Petroleum%20Prices%20in%20Kenya%20for%20the%20Period%2015th%20July%202025%20to%2014th%20August%202025.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2025-07-15,2025-08-14,Diesel,80.22,4.38,17.31,0.01,69.66,171.58,171.58,0.00,Maximum retail petroleum prices in Kenya for the period 15th July – 14th August 2025,https://www.epra.go.ke/sites/default/files/2025-07/Maximum%20Wholesale%20and%20Retail%20Petroleum%20Prices%20in%20Kenya%20for%20the%20Period%2015th%20July%202025%20to%2014th%20August%202025.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2025-07-15,2025-08-14,Kerosene,79.41,4.34,17.24,0.45,55.14,156.58,156.58,0.00,Maximum retail petroleum prices in Kenya for the period 15th July – 14th August 2025,https://www.epra.go.ke/sites/default/files/2025-07/Maximum%20Wholesale%20and%20Retail%20Petroleum%20Prices%20in%20Kenya%20for%20the%20Period%2015th%20July%202025%20to%2014th%20August%202025.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2025-08-15,2025-09-14,Super Petrol,81.04,4.70,17.39,0.01,82.17,185.31,185.31,0.00,Maximum retail petroleum prices in Kenya for the period 15th August – 14th September 2025,https://www.epra.go.ke/sites/default/files/2025-08/Pump%20price%20press%20release%2014th%20August%202025.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2025-08-15,2025-09-14,Diesel,82.14,4.39,17.31,-1.97,69.71,171.58,171.58,0.00,Maximum retail petroleum prices in Kenya for the period 15th August – 14th September 2025,https://www.epra.go.ke/sites/default/files/2025-08/Pump%20price%20press%20release%2014th%20August%202025.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2025-08-15,2025-09-14,Kerosene,81.23,4.35,17.24,-2.83,55.59,155.58,155.58,0.00,Maximum retail petroleum prices in Kenya for the period 15th August – 14th September 2025,https://www.epra.go.ke/sites/default/files/2025-08/Pump%20price%20press%20release%2014th%20August%202025.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2026-01-15,2026-02-14,Super Petrol,77.28,4.68,17.39,1.59,81.58,182.52,182.52,0.00,Maximum retail petroleum prices in Kenya for the period 15th January 2026 - 14th February 2026,https://www.epra.go.ke/sites/default/files/2026-01/January%202026%20petroleum%20Pump%20Price%20Press%20Release.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2026-01-15,2026-02-14,Diesel,81.74,4.39,17.31,-2.52,69.55,170.47,170.47,0.00,Maximum retail petroleum prices in Kenya for the period 15th January 2026 - 14th February 2026,https://www.epra.go.ke/sites/default/files/2026-01/January%202026%20petroleum%20Pump%20Price%20Press%20Release.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2026-01-15,2026-02-14,Kerosene,78.23,4.34,17.24,-1.61,55.58,153.78,153.78,0.00,Maximum retail petroleum prices in Kenya for the period 15th January 2026 - 14th February 2026,https://www.epra.go.ke/sites/default/files/2026-01/January%202026%20petroleum%20Pump%20Price%20Press%20Release.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2026-02-15,2026-03-14,Super Petrol,75.31,4.67,17.39,0.00,80.91,178.28,178.28,0.00,Maximum retail petroleum prices in Kenya for the period 15th February 2026 - 14th March 2026,https://www.epra.go.ke/sites/default/files/2026-02/FINAL%20SIGNED%20PRESS%20RELEASE-%20FEBRUARY%202026.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2026-02-15,2026-03-14,Diesel,76.08,4.37,17.31,-0.00,68.78,166.54,166.54,0.00,Maximum retail petroleum prices in Kenya for the period 15th February 2026 - 14th March 2026,https://www.epra.go.ke/sites/default/files/2026-02/FINAL%20SIGNED%20PRESS%20RELEASE-%20FEBRUARY%202026.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2026-02-15,2026-03-14,Kerosene,77.64,4.35,17.24,-1.43,54.98,152.78,152.78,0.00,Maximum retail petroleum prices in Kenya for the period 15th February 2026 - 14th March 2026,https://www.epra.go.ke/sites/default/files/2026-02/FINAL%20SIGNED%20PRESS%20RELEASE-%20FEBRUARY%202026.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2026-03-15,2026-04-14,Super Petrol,75.42,4.67,17.39,-0.14,80.94,178.28,178.28,0.00,Maximum retail petroleum prices in Kenya for the period 15th March – 14th April 2026,https://www.epra.go.ke/sites/default/files/2026-03/PRESS%20RELEASE%2014TH%20MARCH%202026.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2026-03-15,2026-04-14,Diesel,82.30,4.40,17.31,-6.51,69.04,166.54,166.54,0.00,Maximum retail petroleum prices in Kenya for the period 15th March – 14th April 2026,https://www.epra.go.ke/sites/default/files/2026-03/PRESS%20RELEASE%2014TH%20MARCH%202026.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2026-03-15,2026-04-14,Kerosene,82.63,4.36,17.24,-6.66,55.21,152.78,152.78,0.00,Maximum retail petroleum prices in Kenya for the period 15th March – 14th April 2026,https://www.epra.go.ke/sites/default/files/2026-03/PRESS%20RELEASE%2014TH%20MARCH%202026.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
