Month,Petrol,Diesel,Kerosene,USD_KES,Oil_Price_USD,Tax_Rate
2024-11,180.66,168.06,151.39,129.30,78.70,16
2024-12,176.29,165.06,148.39,129.30,78.70,16
2025-01,176.58,167.06,151.39,129.30,74.20,16
2025-02,176.58,167.06,151.39,129.30,74.20,16
2025-03,176.58,167.06,151.39,129.30,74.20,16
2025-04,174.63,164.86,148.99,129.30,65.90,16
2025-05,174.63,164.86,148.99,129.30,65.90,16
2025-06,177.32,162.91,146.93,129.30,65.90,16
2025-07,186.31,171.58,156.58,129.30,67.50,16
2025-08,185.31,171.58,155.58,129.30,67.50,16
2025-09,184.52,171.47,154.78,129.30,67.50,16
2025-10,184.52,171.47,154.78,129.24,62.10,16
2025-11,184.52,171.47,154.78,129.50,62.10,16
2025-12,184.52,171.47,154.78,129.30,62.10,16
2026-01,182.52,170.47,153.78,129.02,63.70,16
2026-02,178.28,166.54,152.78,129.32,68.00,16
2026-03,178.28,166.54,152.78,129.32,95.60,16
2026-04,197.60,196.63,152.78,129.32,95.60,16